#r[A]		theta_1 [rad]  theta_2[rad]  phi [rad]  Energy [E_h]	
2.424393, 0.816497, 1.612209, 0.693648, 8.9316526e-02
4.382101, 1.258985, 2.152622, 2.651219, -5.3691270e-04
2.792405, 1.346422, 1.513022, 1.985700, 3.3285400e-03
7.904533, 0.246699, 0.235962, 0.600788, -5.2689764e-07
3.684616, 0.756677, 1.138506, 2.723214, 1.6648157e-03
3.627227, 1.014878, 2.364241, 2.910872, -9.3514297e-04
3.044676, 1.444509, 1.391160, 2.020890, 1.0571703e-04
7.248693, 0.772193, 1.435289, 0.655606, -3.2945733e-05
2.806183, 0.809275, 3.008729, 0.889078, 1.5343147e-01
2.123452, 0.861101, 0.774889, 0.011388, 2.6692384e-01
4.073829, 1.521271, 1.351882, 0.784055, -3.8213703e-04
1.644241, 1.412264, 1.619613, 1.905489, 2.0864300e-01
2.230061, 1.425235, 1.267985, 1.350886, 3.2159260e-02
6.834339, 0.976828, 1.153899, 0.217990, -4.3669487e-05
4.215861, 0.544017, 1.606547, 2.435071, -6.9859757e-04
3.967070, 1.041929, 1.101915, 2.994823, -2.0234324e-04
1.542164, 1.478204, 1.312139, 1.422402, 2.6750536e-01
2.750533, 1.004937, 0.288437, 2.420593, 8.1730245e-02
2.455977, 1.342987, 1.047520, 0.020009, 1.7889873e-02
2.300274, 0.974134, 1.768149, 0.794005, 9.0835369e-02
3.274264, 0.765677, 1.098972, 0.087959, 4.1037349e-03
2.822771, 0.933846, 0.535830, 0.420223, 3.2495990e-02
5.963672, 0.822074, 1.002476, 0.015878, -1.2425892e-04
1.651254, 1.519373, 1.317691, 1.434618, 1.9641882e-01
1.732327, 1.443609, 1.323239, 0.202468, 1.9421250e-01
1.857656, 1.124335, 1.937824, 1.509557, 1.7790805e-01
2.899777, 0.217795, 1.490868, 2.036655, 1.0711390e-01
3.019219, 0.848125, 0.526614, 2.203365, 4.8365285e-02
2.105840, 1.275369, 2.595324, 0.109801, 3.0470317e-01
2.306715, 1.118707, 2.012789, 0.123441, 1.2851982e-01
2.018807, 1.407328, 1.263775, 2.429105, 1.0439003e-01
1.964747, 1.434837, 0.804664, 1.065576, 1.3864739e-01
2.382392, 1.060390, 2.432380, 1.241145, 1.2090320e-01
3.324686, 1.033320, 2.191892, 1.289732, 3.8355157e-03
2.318684, 1.217485, 0.881262, 1.011091, 5.0876443e-02
3.465781, 0.704779, 1.385541, 2.060059, 2.8606697e-03
5.985275, 1.231778, 1.534630, 2.143260, -3.4934586e-05
2.066379, 1.357514, 2.639748, 1.524686, 1.5108832e-01
1.457265, 1.558732, 1.646916, 0.354326, 4.2383131e-01
2.183740, 1.091275, 2.120906, 1.797021, 8.8388949e-02
4.248195, 1.501849, 2.406932, 0.366104, -5.4574946e-04
1.879865, 1.081142, 1.430406, 1.018899, 1.7392562e-01
9.215712, 0.223370, 1.074977, 0.981512, -9.5863769e-06
2.353314, 1.158677, 2.258442, 0.312437, 1.5633732e-01
2.730157, 1.374598, 0.779853, 3.088990, 1.7893285e-02
2.488437, 0.945347, 1.949069, 2.688413, 4.9914315e-02
6.214246, 1.125673, 0.831574, 0.923327, -7.2938832e-05
3.224066, 1.099767, 1.187559, 0.436612, -2.3581875e-05
5.751611, 1.262266, 1.290589, 1.899255, -5.1641994e-05
2.968571, 1.234978, 0.745907, 2.029637, 7.4931100e-03
2.144948, 1.478817, 2.628436, 0.944897, 1.4067629e-01
5.339455, 1.386900, 1.041755, 0.931515, -1.2087946e-04
2.458994, 1.155620, 0.816445, 0.147589, 3.4657621e-02
3.808496, 0.932552, 2.472300, 1.228485, 1.6913122e-03
5.826733, 0.609970, 0.683466, 1.738347, -9.1914015e-05
4.016371, 1.291053, 2.132476, 0.839239, -3.4895162e-04
1.534160, 1.331296, 1.800066, 2.563994, 4.1757465e-01
4.559092, 0.471865, 0.896192, 0.927484, -5.4531432e-04
3.522290, 0.322724, 1.500263, 1.591147, 6.5752411e-03
2.468007, 0.939354, 2.618620, 2.588289, 8.5045019e-02
6.596101, 1.513288, 0.641381, 0.937214, -4.6537029e-05
2.505685, 1.433147, 1.211094, 2.385194, 1.6063658e-02
4.708277, 0.724702, 1.667369, 0.274769, -4.5990351e-04
1.594753, 1.379685, 1.587121, 0.532609, 2.5660024e-01
2.765079, 0.946374, 2.741690, 0.992955, 1.0897851e-01
2.393785, 1.487836, 1.445284, 0.535939, 1.6781473e-02
2.679842, 1.291899, 0.266708, 0.752468, 2.5037721e-02
1.887945, 1.300784, 1.639370, 2.011983, 1.2547214e-01
3.482890, 1.365661, 2.251628, 2.759280, -8.3188378e-04
1.696915, 1.420528, 1.625528, 0.395679, 2.0715013e-01
3.532619, 0.478674, 1.399925, 0.208778, 3.6548268e-03
4.662706, 0.882984, 2.787193, 1.884352, -4.8340027e-04
5.587787, 0.528248, 0.560119, 1.748869, -1.2453459e-04
3.667244, 1.065360, 1.780607, 1.380552, -5.7076946e-04
2.306509, 0.851248, 1.202746, 0.142408, 1.1022581e-01
1.899212, 1.385881, 1.602520, 0.738481, 1.0604552e-01
8.845119, 0.711346, 2.035418, 1.165906, -5.4766554e-06
3.165324, 1.544072, 0.809698, 1.985153, -4.5762405e-04
4.165311, 0.306806, 0.993971, 1.758032, 1.2628135e-04
5.493861, 0.850912, 0.372282, 1.219179, -1.5988973e-04
4.863124, 0.660042, 2.673241, 3.000195, -5.1576649e-04
2.665169, 0.694097, 2.309361, 2.305541, 7.3147021e-02
3.068336, 0.513854, 0.942216, 2.124185, 6.9158121e-02
